,variable_id,adduct,Compound.name,VIP,fc,p_value,mz,rt,polarity,HMDB,KEGG
1,M118T508_2_POS,(M+H)+,Betaine,10.42584206,1.251115335,2.12E-09,118.08546,508.11,Positive,HMDB0000043,C00719
2,M831T79_POS,(M-H+2Na)+,"1,2-dioleoyl-sn-glycero-3-phosphatidylcholine",1.945712545,0.647341852,2.47E-07,830.5672,78.971,Positive,HMDB0000593,NA
3,M454T372_POS,(M+H)+,1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine,1.578270693,1.372941513,5.35E-07,454.2915,371.603,Positive,HMDB0011503,NA
4,M116T970_POS,(M+H)+,L-Proline,1.191139574,1.934541009,1.30E-06,116.06943,969.5625,Positive,HMDB0000162,C00148
5,M303T74_POS,(M+H)+,Eicosapentaenoic acid,1.931003825,1.49020476,1.41E-06,303.22912,73.534,Positive,HMDB0001999,C06428
6,M70T583_POS,(M+H-2H2O)+,Diethanolamine,1.254273781,1.270786897,4.49E-06,70.06426,582.678,Positive,HMDB0004437,C06772
7,M303T94_POS,(M+H-H2O)+,20-Hydroxyarachidonic acid,1.720103104,1.635614124,8.11E-06,303.23063,94.123,Positive,HMDB0002344,C14748
8,M116T583_POS,(M+H)+,D-Proline,2.999709547,1.297776822,1.33E-05,116.0697,582.6285,Positive,HMDB0003411,C00763
9,M147T706_POS,(M+H)+,L-Glutamine,2.452178929,1.223698794,4.45E-05,147.07569,705.6325,Positive,HMDB0000641,C00064
10,M130T706_2_POS,(M+H)+,L-Pyroglutamic acid,2.429481469,1.192165885,7.99E-05,130.049,705.558,Positive,HMDB0000267,C01879
11,M137T307_POS,(M+H)+,Hypoxanthine,1.523128985,1.235682401,8.49E-05,137.04479,306.541,Positive,HMDB0000157,C00262
12,M166T475_2_POS,(M+H)+,L-Phenylalanine,3.585885438,1.206051365,0.000158384,166.08561,475.0505,Positive,HMDB0000159,C00079
13,M148T771_POS,(M+H)+,L-Glutamate,1.335778498,1.272489608,0.000287652,148.0596,771.027,Positive,HMDB0000148,C00025
14,M246T442_POS,M+,2-Methylbutyroylcarnitine,1.04896501,1.336637426,0.000420646,246.16916,442.259,Positive,HMDB0000378,NA
15,M126T555_POS,(M+H)+,Taurine,1.829966298,1.184849736,0.000459172,126.02099,555.428,Positive,HMDB0000251,C00245
16,M757T212_POS,(M+Na)+,PC(16:0/16:0),3.635961354,0.75816104,0.000634261,756.55187,211.74,Positive,HMDB0011206,NA
17,M132T511_POS,(M+H)+,L-Isoleucine,1.767312959,1.165353624,0.000739484,132.10094,511.3185,Positive,HMDB0000172,C00407
18,M120T475_POS,(M+H-H2O)+,Tyramine,2.549096861,1.171307439,0.001175268,120.07988,475.136,Positive,HMDB0000306,C00483
19,M132T488_2_POS,(M+H)+,L-Leucine,2.59097625,1.166909956,0.001250221,132.10111,488.013,Positive,HMDB0000687,C00123
20,M524T352_POS,(M+H)+,1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine,13.39218083,0.869213726,0.001650789,524.36997,351.5325,Positive,HMDB0010384,C04230
21,M468T366_POS,(M+H)+,1-Myristoyl-sn-glycero-3-phosphocholine,1.346530539,0.80176677,0.002024957,468.30698,366.1285,Positive,HMDB0010379,NA
22,M205T478_POS,(M+H)+,L-Tryptophan,1.678339922,1.236690652,0.00837503,205.09636,477.7425,Positive,HMDB0000929,C00078
23,M188T478_POS,(M+H-H2O)+,DL-Indole-3-lactic acid,1.795937288,1.195824243,0.009947484,188.06965,477.522,Positive,NA,C02043
24,M410T284_POS,(M+NH4)+,Chenodeoxycholate,1.182617384,0.698136395,0.010964934,410.32515,283.558,Positive,HMDB0000518,C02528
25,M271T57_POS,(M+H-H2O)+,trans-Dehydroandrosterone,1.019298054,0.844631674,0.017801994,271.20501,57.191,Positive,NA,NA
26,M104T492_POS,M+,Choline,3.498776771,0.89427483,0.024702556,104.10612,492.399,Positive,HMDB0000097,C00114
27,M781T255_1_POS,(M-H+2Na)+,Thioetheramide-PC,4.697032395,0.841703668,0.02714604,780.5518,254.9645,Positive,NA,C04873
28,M175T970_POS,(M+H)+,L-Arginine,1.548439036,1.150841966,0.037045174,175.11808,970.3835,Positive,HMDB0000517,C00062
29,M359T68_2_POS,(M+H)+,1-Stearoyl-sn-glycerol,1.298722359,0.954881359,0.04291836,359.31489,68.224,Positive,HMDB0011131,NA
30,M153T67_POS,(M+H)+,Camphor,1.239574598,0.847179826,0.045024864,153.12639,67.3285,Positive,NA,C00809
31,M319T108_NEG,(M-H)-,(+-)12-HETE,2.551620522,2.034057838,1.85E-08,319.22731,107.5315,Negative,NA,NA
32,M209T278_NEG,(M+CH3COO)-,D-Ribose,1.110121502,2.472722585,4.21E-08,209.06616,277.522,Negative,NA,NA
33,M178T363_NEG,(M-H)-,Hippuric acid,1.009607523,0.437111253,4.58E-06,178.05072,363.03,Negative,HMDB0000714,C01586
34,M297T195_NEG,(M-H)-,"Nname,cis-9,10-Epoxystearic acid",2.057235396,0.546173826,8.79E-06,297.243,195.292,Negative,HMDB0247617,C19418
35,M103T440_NEG,(M-H)-,D(-)-beta-hydroxy butyric acid,2.272589418,2.070776276,2.92E-05,103.03971,440.1255,Negative,NA,C01089
36,M135T304_NEG,(M-H)-,Hypoxanthine,1.68570647,1.218821846,7.40E-05,135.03091,304.335,Negative,HMDB0000157,C00262
37,M93T55_NEG,(M-H)-,Phenol,1.953392003,0.568961625,0.000129182,93.03395,54.879,Negative,HMDB0000228,C00146
38,M199T103_NEG,(M-H)-,Dodecanoic acid,1.333597503,0.725978454,0.00013439,199.1701,103.322,Negative,HMDB0000638,C02679
39,M227T100_NEG,(M-H)-,Myristic acid,1.960203235,0.806055676,0.000801873,227.20149,100.04,Negative,HMDB0000806,C06424
40,M212T59_NEG,(M-H)-,Indoxyl sulfate,10.4981354,0.758573577,0.001163447,212.00237,59.298,Negative,HMDB0000682,NA
41,M177T219_NEG,(M-H)-,Esculetin,2.416272633,1.557816013,0.001310515,177.02099,218.995,Negative,HMDB0030819,C09263
42,M164T155_NEG,(M-H)-,Formylanthranilic acid,1.518116706,0.761675593,0.001397619,164.035,154.831,Negative,HMDB0004089,C05653
43,M237T194_NEG,(M+CH3COO)-,L-Gulonic gamma-lactone,1.434935244,1.183439282,0.004350958,237.0617,194.2285,Negative,HMDB0003466,C01040
44,M277T189_NEG,(M-H)-,"all cis-(6,9,12)-Linolenic acid",1.314153344,1.276308657,0.00476292,277.2171,188.6595,Negative,HMDB0003073,C06426
45,M448T390_NEG,(M-H)-,Glycochenodeoxycholate,1.687413587,1.566465242,0.005374153,448.30639,390.414,Negative,HMDB0000637,C05466
46,M89T424_2_NEG,(M-H)-,DL-lactate,5.986853114,1.152452003,0.006053746,89.02424,424.031,Negative,HMDB0000190,C00186
47,M369T95_NEG,(M-H)-,Androsterone sulfate,2.248147289,0.783004577,0.00829256,369.17333,95.04,Negative,HMDB0002759,NA
48,M145T695_NEG,(M-H)-,L-Glutamine,2.425743046,1.16860413,0.012354348,145.06182,694.904,Negative,HMDB0000641,C00064
49,M255T98_NEG,(M-H)-,Palmitic acid,6.645924957,0.890561316,0.015450448,255.23311,97.5635,Negative,HMDB0000220,C00249
50,M411T63_NEG,(M-H)-,Bisindolylmaleimide I,1.223054284,0.875913073,0.024297085,411.18394,63.194,Negative,HMDB0249269,C11238
51,M164T470_2_NEG,(M-H)-,L-Phenylalanine,2.854511774,1.123839095,0.031026105,164.07163,469.541,Negative,HMDB0000159,C00079
52,M391T279_NEG,(M-H)-,Chenodeoxycholate,1.170251767,0.787337251,0.046407363,391.28495,278.739,Negative,HMDB0000518,C02528
53,M115T130_NEG,(M-H2O-H)-,2'-Deoxy-D-ribose,2.249806249,0.882891441,0.047802394,115.03969,129.681,Negative,HMDB0245099,NA